configuration;label;seed;dynamic_loss_weights;dynamic_collocation;use_lr_scheduler;use_lbfgs;field_relative_l2_error;interface_l2_error;reflectance;transmittance;energy_error;training_time_s
baseline;Baseline;1234;False;False;False;False;0.0033200054569556187;1.2786689625902546e-05;1.1130585187385618e-05;0.9942180215843313;0.005770847830481318;157.25803780555725
baseline;Baseline;2345;False;False;False;False;0.0010102514415500196;3.469733780082345e-06;6.514270440628563e-07;0.9966903660786874;0.0033089824942684753;204.62231945991516
baseline;Baseline;3456;False;False;False;False;0.011289995960854182;0.000147116559405154;0.00012338527765054508;0.9842939324133284;0.015582682309021045;160.9934902191162
optimizer_refinement;Scheduler + L-BFGS;1234;False;False;True;True;0.0001922519627095462;4.9089642670397716e-08;3.9493698516831055e-08;1.000206732472855;0.0002067719665534984;120.79297828674316
optimizer_refinement;Scheduler + L-BFGS;2345;False;False;True;True;0.0008249166511459651;1.771526429960919e-06;5.181970280442619e-07;0.9982490268540802;0.0017504549488916998;170.96494126319885
optimizer_refinement;Scheduler + L-BFGS;3456;False;False;True;True;1.4685938504545334e-05;5.940850834591021e-10;1.870563399214497e-10;0.9999570162985693;4.2983514374372866e-05;194.49686121940613
dynamic_weighting;Dynamic weighting;1234;True;False;False;False;4.922450969926454e-05;4.4388389021579356e-09;2.464762525597046e-09;0.999988457618802;1.1539916435543418e-05;104.76807594299316
dynamic_weighting;Dynamic weighting;2345;True;False;False;False;3.088701400429002e-05;4.161111691080282e-09;8.00877614619299e-10;0.9999096341891965;9.03650099258746e-05;158.9019730091095
dynamic_weighting;Dynamic weighting;3456;True;False;False;False;0.0019846764500640887;0.00014365455924209033;2.707251504226706e-09;1.0000619586391795;6.196134643099427e-05;169.35411143302917
adaptive_sampling;Adaptive sampling;1234;False;True;False;False;0.008088245814060448;0.00020807780022009077;6.260058137633911e-05;0.9870040582883253;0.012933341130298426;93.9702742099762
adaptive_sampling;Adaptive sampling;2345;False;True;False;False;0.003057781624344098;0.00010416743795612921;5.728892153558019e-06;0.9943824311269814;0.005611839980865008;161.65841960906982
adaptive_sampling;Adaptive sampling;3456;False;True;False;False;0.0031139576527498976;9.829462856087508e-05;9.317659099987755e-06;0.9937500002724613;0.006240682068438752;156.99858593940735
complete_optimized;Complete optimized;1234;True;True;True;True;1.4631583310067792e-05;2.7598023055152677e-11;2.0863378075933753e-10;1.00002724947969;2.724968832379382e-05;171.3793592453003
complete_optimized;Complete optimized;2345;True;True;True;True;6.682673625258682e-06;1.0451646345663875e-10;2.8554265433742853e-11;0.9999969991301744;3.000841271361132e-06;179.71227550506592
complete_optimized;Complete optimized;3456;True;True;True;True;1.83111713951039e-05;1.763439616735802e-10;3.580365165033747e-10;1.0000076617722962;7.66213033265295e-06;160.027117729187
