model,label,seed,frequency_ratio,design_frequency_hz,operating_frequency_hz,operating_frequency_ghz,field_relative_l2_error,r_pinn_real,r_pinn_imag,r_reference_real,r_reference_imag,r_absolute_error,t_pinn_real,t_pinn_imag,t_reference_real,t_reference_imag,t_absolute_error,reflectance_pinn,reflectance_reference,reflectance_absolute_error,transmittance_pinn,transmittance_reference,transmittance_absolute_error,energy_error,interface_l2_error,boundary_l2_error,extraction_l2_error,training_time_s
hybrid_optimized,Optimized hybrid PINN,1234,0.9,150000000000.0,135000000000.0,135.0,1.199585537162231e-05,-0.018933987244963646,0.10005319118499756,-0.018939491922494427,0.10005949225733235,8.366898307387281e-06,0.17934325337409973,0.507114052772522,0.17932808908812725,0.5071116593805237,1.535199968448634e-05,0.010369136939294117,0.010370606345077384,1.4694057832668334e-06,0.9896563010008608,0.9896293936549228,2.690734593802091e-05,2.5437940154970917e-05,2.4793358492214957e-11,,,127.6143548488617
full_domain,Full-domain PINN,1234,0.9,150000000000.0,135000000000.0,135.0,0.020626791301949828,-0.012096375347581702,0.12825657123759054,-0.018939491922494427,0.10005949225733235,0.029015573533479635,0.18063616363887325,0.5046049594468704,0.17932808908812725,0.5071116593805237,0.002827473003882908,0.01659607036217272,0.010370606345077384,0.0062254640170953356,0.982565288917296,0.9896293936549228,0.007064104737626753,0.0008386407205313029,,9.212317210371464e-09,2.7842300616592195e-09,472.3990867137909
hybrid_optimized,Optimized hybrid PINN,1234,0.95,150000000000.0,142500000000.0,142.5,1.703938700005169e-05,-0.004817101173102856,0.05104644224047661,-0.004801469091763657,0.05104961500892588,1.5950812726254187e-05,0.15335161983966827,0.5177652835845947,0.15334123516901496,0.5177552599725226,1.443309334656105e-05,0.0026289437291222234,0.0026291172979987123,1.7356887648889777e-07,0.9974172806376466,0.9973708827020016,4.6397935644981736e-05,4.622436676871011e-05,6.884419146572868e-11,,,92.42606949806213
full_domain,Full-domain PINN,1234,0.95,150000000000.0,142500000000.0,142.5,0.013154375443328183,0.0012629269217672844,0.0542426161682842,-0.004801469091763657,0.05104961500892588,0.006853623524282139,0.16308706116095867,0.5145853307851064,0.15334123516901496,0.5177552599725226,0.01024839379212561,0.0029438563931895308,0.0026291172979987123,0.0003147390951908184,0.9967258006747476,0.9973708827020016,0.0006450820272539959,0.0003303429320629103,,3.0250596421862623e-09,1.4425744406351654e-09,390.6305148601532
hybrid_optimized,Optimized hybrid PINN,1234,1.0,150000000000.0,150000000000.0,150.0,6.779421408132767e-05,-6.0790862335124984e-05,-3.5832399589708075e-05,-5.78601752354121e-16,3.0349087891304937e-17,7.056550009555984e-05,0.12668725848197937,0.5256462693214417,0.12666364792103943,0.5256510186403883,2.4083492652766895e-05,4.979489803804629e-09,3.357010549630938e-31,4.979489803804629e-09,1.000003382253618,0.9999999999999999,3.3822536181782326e-06,3.387233107776666e-06,5.149316223551382e-10,,,87.40203523635864
full_domain,Full-domain PINN,1234,1.0,150000000000.0,150000000000.0,150.0,0.01272136610689077,0.006049362806860182,-0.00919166872609759,-5.78601752354121e-16,3.0349087891304937e-17,0.011003706845393117,0.13683979534127205,0.5230321089791106,0.12666364792103943,0.5256510186403883,0.010507743056063041,0.00012108156433934379,3.357010549630938e-31,0.00012108156433934379,0.999777814618637,0.9999999999999999,0.00022218538136287158,0.00010110381702366222,,8.461312206276118e-10,4.667459406723413e-10,3630.5262875556946
hybrid_optimized,Optimized hybrid PINN,1234,1.05,150000000000.0,157500000000.0,157.5,4.647085112133598e-05,-0.004827974364161491,-0.05108577385544777,-0.004801469091763757,-0.05104961500892576,4.4832930382478043e-05,0.09933824837207794,0.530744731426239,0.09931769079543447,0.5307730587807147,3.5000756692424564e-05,0.0026330656268709514,0.0026291172979987006,3.948328872250759e-06,0.9972819965435319,0.9973708827020011,8.888615846924797e-05,8.493782959717588e-05,6.767615040187939e-11,,,89.84471273422241
full_domain,Full-domain PINN,1234,1.05,150000000000.0,157500000000.0,157.5,0.00831315227955362,0.0004191332418448272,-0.04391974593944996,-0.004801469091763757,-0.05104961500892576,0.008836838895982385,0.09836591702039532,0.5310775549224316,0.09931769079543447,0.5307730587807147,0.000999295361328546,0.0019291197560602504,0.0026291172979987006,0.0006999975419384502,0.9978332671907201,0.9973708827020011,0.00046238448871893656,0.0002376130532196763,,3.766391975324324e-09,2.449115782501389e-09,480.4488298892975
hybrid_optimized,Optimized hybrid PINN,1234,1.1,150000000000.0,165000000000.0,165.0,4.2529663680958707e-05,-0.01897183060646057,-0.10008911788463593,-0.018939491922493612,-0.10005949225733216,4.3857362823780694e-05,0.07135097682476044,0.5331199765205383,0.07133505908807322,0.5331342307154632,2.1367180773303032e-05,0.010377761875484781,0.010370606345077315,7.155530407466221e-06,0.9895851752921366,0.9896293936549231,4.42183627864523e-05,3.7062832378587096e-05,5.787564340121641e-10,,,96.16008806228638
full_domain,Full-domain PINN,1234,1.1,150000000000.0,165000000000.0,165.0,0.010328139479326304,-0.017606214446591745,-0.11124215120077702,-0.018939491922493612,-0.10005949225733216,0.011261859965083682,0.06717811709288485,0.5329675476986808,0.07133505908807322,0.5331342307154632,0.0041602824398644335,0.012684794990915911,0.010370606345077315,0.002314188645838596,0.9870520534459867,0.9896293936549231,0.0025773402089364073,0.00026315156309741905,,1.859273324360979e-09,1.6409391039639629e-09,735.6175422668457
